fecha,hr_media,ritmo_medio,ritmo_160ppm,metros_latido,eficiencia,vvo2max,desacople_%
2026-04-12 08:23:00,134.23920783266578,6.383338480912029,4.725232806854969,1.1642205230013563,0.019403675383355936,14.756400000000001,-9.451258177979451
2026-04-09 08:18:00,139.00931940129908,5.8295251273111655,4.665708648577744,1.2395437373893887,0.020659062289823147,14.0544,-12.479200841164868
2026-04-06 08:28:00,134.05212311840035,6.228697567443808,4.750569497303201,1.1966670238116899,0.01993548861281438,15.45228,-10.488209898199017
2026-04-04 08:27:00,135.44825737265415,6.155711579464493,4.671827770406154,1.200087725896388,0.020001462098273134,14.05224,-9.464859733857036
2026-04-02 08:27:00,149.56526706655242,5.683744199366459,5.341750398017183,1.1776365850500923,0.019627276417501543,12.575159999999999,-6.119263262287218
2026-03-31 08:22:00,135.96226919989297,6.196692402258163,4.882434491814469,1.1910149559916277,0.019850249266527124,13.87152,-13.273531142316768
2026-03-28 08:00:00,133.57242676699812,6.101845358084687,4.609811572995421,1.2290817768117341,0.02048469628019557,14.632919999999999,-13.401353552440865
2026-03-26 08:14:00,136.29816768461964,5.9949966909349195,4.78410560200999,1.2263542723983616,0.020439237873306024,14.621760000000002,-11.39568396112063
2026-03-24 08:26:00,135.14133333333334,6.180760646928843,4.902865488893888,1.2012484933897796,0.020020808223162993,14.01732,-12.881048787466643
2026-03-22 11:12:00,140.36582889058135,6.219132286580267,5.228450616134202,1.1357427973735084,0.018929046622891806,13.314960000000001,-20.03913101100495
2026-03-20 08:24:00,135.15166297117517,6.2971472722070505,4.651530808736911,1.1735565802284582,0.019550602600406097,14.011560000000001,-11.235680556267113
2026-03-19 08:48:00,132.3048403707518,6.471551844541568,4.748127016653097,1.1683467633165077,0.019456402845342873,14.436719999999998,-9.613358947137282
2026-03-16 08:33:00,140.5050735667174,6.202633523015593,5.2591852590269985,1.1428505581403388,0.01904750930233898,13.984919999999999,-10.97261173209731
